file,energy_V_ns
C1_00199.trc,3.4275759251822424
C1_00200.trc,3.3655825484604223
C1_00201.trc,3.1845858087066907
C1_00202.trc,3.7923601033202767
C1_00203.trc,3.4415294183350635
C1_00204.trc,3.543788589583598
C1_00205.trc,3.2330243635086258
C1_00206.trc,3.3875094662720038
C1_00207.trc,3.1602668634974864
C1_00208.trc,3.1734230141844306
C1_00209.trc,3.2314296785768715
C1_00210.trc,2.8933564730456722
C1_00211.trc,3.1746190278832485
C1_00212.trc,3.091695411432197
C1_00213.trc,3.796745486882596
C1_00214.trc,3.259536000498984
C1_00215.trc,3.34644632927941
C1_00216.trc,3.1305658566436234
C1_00217.trc,3.822459781407078
C1_00218.trc,4.243057932156396
C1_00219.trc,3.2880409936540342
C1_00220.trc,3.349436363526444
C1_00221.trc,3.4682403909418964
C1_00222.trc,3.4359480210739335
C1_00223.trc,3.310366582698549
C1_00224.trc,2.9990043497741716
C1_00225.trc,3.678738801933021
C1_00226.trc,3.230233664878061
C1_00227.trc,3.5039214662898193
C1_00228.trc,2.9581405483980507
C1_00229.trc,3.420001171756427
C1_00230.trc,3.268705438856548
C1_00231.trc,3.435549349840998
C1_00232.trc,3.356612445719325
C1_00233.trc,3.1644529114433353
C1_00234.trc,3.313555952562048
C1_00235.trc,3.095084116912166
C1_00236.trc,3.1407319730835397
C1_00237.trc,3.767044480028728
C1_00238.trc,3.4985394046451663
C1_00239.trc,3.331894829277183
C1_00240.trc,3.2790708909129367
C1_00241.trc,3.481396541628841
C1_00242.trc,3.5790709936985894
C1_00243.trc,3.3685725827074564
C1_00244.trc,3.227044295014556
C1_00245.trc,3.265117397760111
C1_00246.trc,3.1827917881584673
C1_00247.trc,3.3428582881829687
C1_00248.trc,3.454685569022011
C1_00249.trc,3.224452932000465
C1_00250.trc,3.5609314525999194
C1_00251.trc,3.4574762676525737
C1_00252.trc,3.480599199162965
C1_00253.trc,3.3853167744908443
C1_00254.trc,3.391695514217846
C1_00255.trc,3.253954603237852
C1_00256.trc,3.396080897780159
C1_00257.trc,3.2033233566547583
C1_00258.trc,3.6061806375383494
C1_00259.trc,3.4590709525843244
C1_00260.trc,3.760267069068786
C1_00261.trc,3.7038550896080995
C1_00262.trc,3.481396541628837
C1_00263.trc,3.3707652744886127
C1_00264.trc,3.50930352793448
C1_00265.trc,3.319934692289053
C1_00266.trc,3.2659147402259885
C1_00267.trc,3.5033234594404137
C1_00268.trc,3.4172104731258606
C1_00269.trc,3.3191373498231838
C1_00270.trc,3.46425367861252
C1_00271.trc,3.4594696238172613
C1_00272.trc,3.424386555318743
C1_00273.trc,3.509502863550951
C1_00274.trc,3.2407984525509126
C1_00275.trc,2.9780741100449375
C1_00276.trc,3.278472884063529
C1_00277.trc,3.166047596375087
C1_00278.trc,3.5431905827341867
C1_00279.trc,3.506114158070983
C1_00280.trc,3.585051062192651
C1_00281.trc,3.9442538430695593
C1_00282.trc,3.4813965416288424
C1_00283.trc,2.961130582645084
C1_00284.trc,3.572094247122177
C1_00285.trc,3.31335661694558
C1_00286.trc,3.1405326374670715
C1_00287.trc,3.3906988361355017
C1_00288.trc,3.5152835964285467
C1_00289.trc,3.4614629799819516
C1_00290.trc,4.061263849936784
C1_00291.trc,3.754685671807664
C1_00292.trc,3.367376569008645
C1_00293.trc,3.2160808361087705
C1_00294.trc,3.466845041626612
C1_00295.trc,3.4207985142223056
C1_00296.trc,3.606977980004229
C1_00297.trc,3.3673765690086457
C1_00298.trc,3.2794695621458736
C1_00299.trc,3.5447852676659424
C1_00300.trc,3.0299013703268445
C1_00301.trc,3.633888288227525
C1_00302.trc,3.444718788198564
C1_00303.trc,3.360599158048705
C1_00304.trc,3.517077616976768
C1_00305.trc,3.3476423429782254
C1_00306.trc,3.4205991786058343
C1_00307.trc,3.213888144327611
C1_00308.trc,3.8972106375829023
C1_00309.trc,3.5009314320427896
C1_00310.trc,3.017941233338714
C1_00311.trc,3.4648516854619262
C1_00312.trc,3.538406527938938
C1_00313.trc,3.2746855073506156
C1_00314.trc,3.414619110111767
C1_00315.trc,3.326313432016057
C1_00316.trc,3.217077514191115
C1_00317.trc,3.588439767672621
C1_00318.trc,3.2358150621391877
C1_00319.trc,3.1564794867845793
C1_00320.trc,3.6249181854864254
C1_00321.trc,3.295217075846913
C1_00322.trc,3.045848219644359
C1_00323.trc,3.2677087607742106
C1_00324.trc,3.5900344526043755
C1_00325.trc,3.6249181854864254
C1_00326.trc,3.513290240263858
C1_00327.trc,3.643855069050973
C1_00328.trc,3.272293479952991
C1_00329.trc,3.4823932197111844
C1_00330.trc,2.997010993609485
C1_00331.trc,3.349237027909978
C1_00332.trc,3.33448619229128
C1_00333.trc,3.4752171375183014
C1_00334.trc,3.180200425144372
C1_00335.trc,3.2152834936428984
